identifiant;horodate;pluie_mm
2;2022-04-01 05:12:00+02:00;0,1
2;2022-04-01 05:18:00+02:00;0,1
2;2022-04-01 05:24:00+02:00;0,3
2;2022-04-01 05:30:00+02:00;0,1
2;2022-04-01 05:36:00+02:00;0,1
2;2022-04-01 05:42:00+02:00;0,1
2;2022-04-01 05:48:00+02:00;0,1
2;2022-04-01 05:54:00+02:00;0,3
2;2022-04-01 06:00:00+02:00;0,2
2;2022-04-01 06:06:00+02:00;0,2
2;2022-04-01 06:12:00+02:00;0,2
2;2022-04-01 06:18:00+02:00;0,2
2;2022-04-01 06:24:00+02:00;0,1
2;2022-04-01 06:30:00+02:00;0,2
2;2022-04-01 06:36:00+02:00;0,1
2;2022-04-01 06:42:00+02:00;0,2
2;2022-04-01 06:48:00+02:00;0,2
2;2022-04-01 06:54:00+02:00;0,2
2;2022-04-01 07:00:00+02:00;0,2
2;2022-04-01 07:06:00+02:00;0,2
2;2022-04-01 07:12:00+02:00;0,2
2;2022-04-01 07:18:00+02:00;0,1
2;2022-04-01 07:24:00+02:00;0,1
2;2022-04-01 07:30:00+02:00;0,1
2;2022-04-01 07:36:00+02:00;0,2
2;2022-04-01 07:42:00+02:00;0,1
2;2022-04-01 07:48:00+02:00;0,2
2;2022-04-01 07:54:00+02:00;0,1
2;2022-04-01 08:00:00+02:00;0,1
2;2022-04-01 08:06:00+02:00;0,1
2;2022-04-01 08:30:00+02:00;0,1
2;2022-04-01 08:36:00+02:00;0,1
2;2022-04-01 08:48:00+02:00;0,1
2;2022-04-01 08:54:00+02:00;0,1
2;2022-04-01 09:54:00+02:00;0,0
2;2022-04-01 21:00:00+02:00;0,2
2;2022-04-01 21:06:00+02:00;0,3
2;2022-04-01 21:12:00+02:00;0,4
2;2022-04-01 21:18:00+02:00;0,2
2;2022-04-01 21:36:00+02:00;0,1
2;2022-04-01 21:42:00+02:00;0,1
2;2022-04-01 21:48:00+02:00;0,3
2;2022-04-01 21:54:00+02:00;0,1
2;2022-04-01 22:00:00+02:00;0,2
2;2022-04-01 22:06:00+02:00;0,1
2;2022-04-01 22:24:00+02:00;0,2
2;2022-04-01 22:36:00+02:00;0,1
2;2022-04-01 22:42:00+02:00;0,1
2;2022-04-01 22:48:00+02:00;0,1
2;2022-04-01 22:54:00+02:00;0,2
2;2022-04-01 23:00:00+02:00;0,1
2;2022-04-01 23:18:00+02:00;0,1
2;2022-04-01 23:36:00+02:00;0,2
2;2022-04-01 23:54:00+02:00;0,1
2;2022-04-02 00:00:00+02:00;0,1
2;2022-04-02 00:24:00+02:00;0,1
2;2022-04-02 00:42:00+02:00;0,2
2;2022-04-02 01:00:00+02:00;0,1
2;2022-04-02 01:12:00+02:00;0,1
2;2022-04-02 01:30:00+02:00;0,1
2;2022-04-02 01:48:00+02:00;0,1
2;2022-04-02 01:54:00+02:00;0,1
2;2022-04-02 02:06:00+02:00;0,1
2;2022-04-02 02:24:00+02:00;0,1
2;2022-04-02 02:30:00+02:00;0,1
2;2022-04-02 02:48:00+02:00;0,1
2;2022-04-02 03:12:00+02:00;0,1
2;2022-04-02 03:48:00+02:00;0,1
2;2022-04-02 03:54:00+02:00;0,1
2;2022-04-02 04:18:00+02:00;0,1
2;2022-04-02 05:12:00+02:00;0,1
2;2022-04-02 06:00:00+02:00;0,1
2;2022-04-02 06:42:00+02:00;0,1
2;2022-04-02 07:24:00+02:00;0,1
2;2022-04-02 08:00:00+02:00;0,1
2;2022-04-02 08:06:00+02:00;0,1
2;2022-04-02 08:30:00+02:00;0,1
2;2022-04-02 09:06:00+02:00;0,1
2;2022-04-02 09:42:00+02:00;0,1
2;2022-04-02 10:06:00+02:00;0,1
2;2022-04-02 10:54:00+02:00;0,1
2;2022-04-02 11:54:00+02:00;0,0
2;2022-04-06 22:36:00+02:00;0,1
2;2022-04-06 22:42:00+02:00;0,1
2;2022-04-06 23:00:00+02:00;0,1
2;2022-04-06 23:30:00+02:00;0,3
2;2022-04-06 23:36:00+02:00;0,2
2;2022-04-07 00:36:00+02:00;0,0
2;2022-04-07 14:18:00+02:00;0,1
2;2022-04-07 14:24:00+02:00;0,1
2;2022-04-07 14:30:00+02:00;0,1
2;2022-04-07 14:36:00+02:00;0,1
2;2022-04-07 14:42:00+02:00;0,1
2;2022-04-07 14:48:00+02:00;0,2
2;2022-04-07 14:54:00+02:00;0,1
2;2022-04-07 15:00:00+02:00;0,1
2;2022-04-07 15:18:00+02:00;0,1
2;2022-04-07 15:24:00+02:00;0,1
2;2022-04-07 15:36:00+02:00;0,1
2;2022-04-07 16:12:00+02:00;0,3
2;2022-04-07 16:18:00+02:00;0,1
2;2022-04-07 16:30:00+02:00;0,1
2;2022-04-07 16:36:00+02:00;0,2
2;2022-04-07 16:42:00+02:00;0,2
2;2022-04-07 16:48:00+02:00;0,3
2;2022-04-07 16:54:00+02:00;0,2
2;2022-04-07 17:00:00+02:00;0,2
2;2022-04-07 17:06:00+02:00;0,2
2;2022-04-07 17:12:00+02:00;0,1
2;2022-04-07 17:18:00+02:00;0,1
2;2022-04-07 17:24:00+02:00;0,1
2;2022-04-07 17:30:00+02:00;0,1
2;2022-04-07 17:42:00+02:00;0,1
2;2022-04-07 17:48:00+02:00;0,1
2;2022-04-07 17:54:00+02:00;0,1
2;2022-04-07 18:30:00+02:00;0,1
2;2022-04-07 19:30:00+02:00;0,0
2;2022-04-08 02:12:00+02:00;0,1
2;2022-04-08 02:30:00+02:00;0,2
2;2022-04-08 02:42:00+02:00;0,1
2;2022-04-08 02:48:00+02:00;0,1
2;2022-04-08 03:30:00+02:00;0,1
2;2022-04-08 03:42:00+02:00;0,1
2;2022-04-08 03:54:00+02:00;0,1
2;2022-04-08 04:12:00+02:00;0,1
2;2022-04-08 04:24:00+02:00;0,1
2;2022-04-08 04:48:00+02:00;0,1
2;2022-04-08 04:54:00+02:00;0,1
2;2022-04-08 05:00:00+02:00;0,1
2;2022-04-08 05:24:00+02:00;0,2
2;2022-04-08 05:30:00+02:00;0,1
2;2022-04-08 05:36:00+02:00;0,1
2;2022-04-08 05:42:00+02:00;0,1
2;2022-04-08 05:54:00+02:00;0,2
2;2022-04-08 06:00:00+02:00;0,1
2;2022-04-08 06:06:00+02:00;0,1
2;2022-04-08 06:12:00+02:00;0,1
2;2022-04-08 06:18:00+02:00;0,1
2;2022-04-08 06:24:00+02:00;0,1
2;2022-04-08 06:30:00+02:00;0,1
2;2022-04-08 07:18:00+02:00;0,2
2;2022-04-08 08:18:00+02:00;0,0
2;2022-04-08 16:12:00+02:00;0,1
2;2022-04-08 16:30:00+02:00;0,3
2;2022-04-08 16:36:00+02:00;0,1
2;2022-04-08 17:36:00+02:00;0,0
2;2022-04-09 02:00:00+02:00;0,2
2;2022-04-09 02:06:00+02:00;0,2
2;2022-04-09 02:12:00+02:00;0,1
2;2022-04-09 03:12:00+02:00;0,0
2;2022-04-09 08:36:00+02:00;0,1
2;2022-04-09 09:36:00+02:00;0,0
2;2022-04-09 14:18:00+02:00;0,1
2;2022-04-09 14:24:00+02:00;0,2
2;2022-04-09 15:06:00+02:00;0,2
2;2022-04-09 15:12:00+02:00;0,2
2;2022-04-09 16:00:00+02:00;0,1
2;2022-04-09 16:06:00+02:00;1,5
2;2022-04-09 16:12:00+02:00;0,1
2;2022-04-09 16:18:00+02:00;0,4
2;2022-04-09 17:18:00+02:00;0,0
2;2022-04-23 11:18:00+02:00;0,1
2;2022-04-23 12:18:00+02:00;0,0
2;2022-04-23 17:54:00+02:00;0,4
2;2022-04-23 18:00:00+02:00;1,9
2;2022-04-23 18:06:00+02:00;0,5
2;2022-04-23 18:12:00+02:00;0,6
2;2022-04-23 18:18:00+02:00;0,6
2;2022-04-23 18:24:00+02:00;0,5
2;2022-04-23 18:30:00+02:00;0,7
2;2022-04-23 18:36:00+02:00;0,9
2;2022-04-23 18:42:00+02:00;0,6
2;2022-04-23 18:48:00+02:00;0,3
2;2022-04-23 18:54:00+02:00;0,2
2;2022-04-23 19:00:00+02:00;0,2
2;2022-04-23 19:06:00+02:00;0,3
2;2022-04-23 19:12:00+02:00;0,1
2;2022-04-23 19:30:00+02:00;0,2
