channel_id;channel_provider_id;mobility_type;time_step;last_updated_at;started_at
101058579;101058579;BIKE;3600;2023-10-22 22:00:00+00:00;2012-12-31 23:00:00+00:00
102058579;102058579;BIKE;3600;2023-10-22 22:00:00+00:00;2012-12-31 23:00:00+00:00
103042249;103042249;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
101030259;101030259;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
101058580;101058580;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102058580;102058580;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
101058822;101058822;BIKE;3600;2023-10-23 22:00:00+00:00;2011-12-18 23:00:00+00:00
102058822;102058822;BIKE;3600;2023-10-23 22:00:00+00:00;2011-12-18 23:00:00+00:00
101059636;101059636;BIKE;900;2023-10-23 21:15:00+00:00;2012-12-31 23:00:00+00:00
102059636;102059636;BIKE;900;2023-10-23 21:15:00+00:00;2012-12-31 23:00:00+00:00
101042249;101042249;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
102031127;102031127;BIKE;3600;2023-09-25 22:00:00+00:00;2012-12-31 23:00:00+00:00
101042252;101042252;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
101063321;101063321;BIKE;3600;2023-10-23 22:00:00+00:00;2011-04-13 22:00:00+00:00
102063321;102063321;BIKE;3600;2023-10-23 22:00:00+00:00;2011-04-13 22:00:00+00:00
101063558;101063558;BIKE;900;2023-10-23 21:15:00+00:00;2012-12-31 23:00:00+00:00
102063558;102063558;BIKE;900;2023-10-23 21:15:00+00:00;2012-12-31 23:00:00+00:00
101064282;101064282;BIKE;3600;2023-10-23 22:00:00+00:00;2007-01-17 23:00:00+00:00
102064282;102064282;BIKE;3600;2023-10-23 22:00:00+00:00;2007-01-17 23:00:00+00:00
102045777;102045777;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
101048989;101048989;BIKE;3600;2023-09-25 22:00:00+00:00;2012-12-31 23:00:00+00:00
353399193;353399193;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
102043598;102043598;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
353303362;353303362;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
101043680;101043680;BIKE;1800;2025-12-17 22:30:00+00:00;2012-12-31 23:00:00+00:00
102043680;102043680;BIKE;1800;2025-12-17 22:30:00+00:00;2012-12-31 23:00:00+00:00
103043680;103043680;BIKE;1800;2024-02-16 09:15:00+00:00;2012-12-31 23:00:00+00:00
104043680;104043680;BIKE;1800;2024-02-16 09:15:00+00:00;2012-12-31 23:00:00+00:00
353280420;353280420;BIKE;1800;2024-02-16 09:15:00+00:00;2012-12-31 23:00:00+00:00
353280423;353280423;BIKE;1800;2024-02-16 09:15:00+00:00;2012-12-31 23:00:00+00:00
353280425;353280425;BIKE;1800;2024-02-16 09:15:00+00:00;2012-12-31 23:00:00+00:00
353280427;353280427;BIKE;1800;2024-02-16 09:15:00+00:00;2012-12-31 23:00:00+00:00
102048989;102048989;BIKE;3600;2023-09-25 22:00:00+00:00;2012-12-31 23:00:00+00:00
103048989;103048989;BIKE;3600;2023-09-25 22:00:00+00:00;2012-12-31 23:00:00+00:00
104048989;104048989;BIKE;3600;2023-09-25 22:00:00+00:00;2012-12-31 23:00:00+00:00
353399190;353399190;BIKE;900;2025-12-17 22:15:00+00:00;2012-12-31 23:00:00+00:00
353399191;353399191;BIKE;900;2025-12-17 22:15:00+00:00;2012-12-31 23:00:00+00:00
353399205;353399205;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
353290757;353290757;BIKE;3600;2022-08-03 22:00:00+00:00;2012-12-31 23:00:00+00:00
353399208;353399208;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
102041017;102041017;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
101041018;101041018;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
102041018;102041018;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
102042249;102042249;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
104042249;104042249;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
101042251;101042251;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
102042251;102042251;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
102042252;102042252;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
