deveui;horodate;degre_celsius
70b3d580a0100647;29/04/2022 18:58;20,0625
70b3d580a0100648;29/04/2022 18:56;19,5
70b3d580a0100623;29/04/2022 18:52;20,125
70b3d580a0100654;29/04/2022 18:51;20,875
70b3d580a0100657;29/04/2022 18:47;20,4375
70b3d580a0100652;29/04/2022 18:45;18
70b3d580a01007a5;29/04/2022 18:44;19,0625
70b3d580a0100543;29/04/2022 18:42;20,25
70b3d580a0100543;29/04/2022 18:42;20,25
70b3d580a01006cf;29/04/2022 18:41;19,375
70b3d580a0100656;29/04/2022 18:38;19,4375
70b3d580a0100550;29/04/2022 18:35;20,875
70b3d580a0100742;29/04/2022 18:34;18,625
70b3d580a01005fa;29/04/2022 18:33;20,4375
70b3d580a0100600;29/04/2022 18:31;20,6875
70b3d580a0100549;29/04/2022 18:31;20,4375
70b3d580a010054c;29/04/2022 18:30;20,75
70b3d580a0100605;29/04/2022 18:29;20,5625
70b3d580a0100647;29/04/2022 18:28;20,6875
70b3d580a0100648;29/04/2022 18:26;20,0625
70b3d580a0100623;29/04/2022 18:22;20,6875
70b3d580a0100654;29/04/2022 18:21;21,25
70b3d580a0100657;29/04/2022 18:17;21,0625
70b3d580a0100652;29/04/2022 18:15;18,5
70b3d580a01007a5;29/04/2022 18:14;19,625
70b3d580a0100543;29/04/2022 18:12;20,5
70b3d580a0100543;29/04/2022 18:12;20,5
70b3d580a01006cf;29/04/2022 18:11;19,875
70b3d580a0100656;29/04/2022 18:08;19,875
70b3d580a0100550;29/04/2022 18:05;21,4375
70b3d580a0100742;29/04/2022 18:04;19,375
70b3d580a01005fa;29/04/2022 18:03;20,6875
70b3d580a0100600;29/04/2022 18:01;21,125
70b3d580a0100549;29/04/2022 18:01;20,8125
70b3d580a010054c;29/04/2022 18:00;21
70b3d580a0100605;29/04/2022 17:59;20,8125
70b3d580a0100647;29/04/2022 17:58;21,375
70b3d580a0100648;29/04/2022 17:56;20,6875
70b3d580a0100623;29/04/2022 17:52;21,5
70b3d580a0100654;29/04/2022 17:51;21,6875
70b3d580a0100657;29/04/2022 17:47;21,625
70b3d580a0100652;29/04/2022 17:45;19,0625
70b3d580a01007a5;29/04/2022 17:44;20,1875
70b3d580a0100543;29/04/2022 17:42;20,9375
70b3d580a0100543;29/04/2022 17:42;20,9375
70b3d580a01006cf;29/04/2022 17:41;20,25
70b3d580a0100656;29/04/2022 17:38;20,5
70b3d580a0100550;29/04/2022 17:35;21,625
70b3d580a0100742;29/04/2022 17:34;19,875
70b3d580a01005fa;29/04/2022 17:33;21,0625
70b3d580a01005fa;29/04/2022 17:33;21,0625
70b3d580a0100600;29/04/2022 17:31;21,4375
70b3d580a0100549;29/04/2022 17:31;21
70b3d580a010054c;29/04/2022 17:30;21,3125
70b3d580a0100605;29/04/2022 17:29;21,1875
70b3d580a0100647;29/04/2022 17:28;21,875
70b3d580a0100648;29/04/2022 17:26;20,9375
70b3d580a0100623;29/04/2022 17:22;21,75
70b3d580a0100654;29/04/2022 17:21;22,0625
70b3d580a0100657;29/04/2022 17:17;21,9375
70b3d580a0100652;29/04/2022 17:15;19,375
70b3d580a01007a5;29/04/2022 17:14;20,5
70b3d580a0100543;29/04/2022 17:12;21,25
70b3d580a0100543;29/04/2022 17:12;21,25
70b3d580a01006cf;29/04/2022 17:11;20,5625
70b3d580a0100656;29/04/2022 17:08;21
70b3d580a0100550;29/04/2022 17:05;22,1875
70b3d580a0100742;29/04/2022 17:04;20,1875
70b3d580a01005fa;29/04/2022 17:03;21,3125
70b3d580a01005fa;29/04/2022 17:03;21,3125
70b3d580a0100600;29/04/2022 17:01;21,6875
70b3d580a0100549;29/04/2022 17:01;21,25
70b3d580a010054c;29/04/2022 17:00;21,5625
70b3d580a0100605;29/04/2022 16:59;21,5
70b3d580a0100647;29/04/2022 16:58;22,125
70b3d580a0100648;29/04/2022 16:56;21,3125
70b3d580a0100623;29/04/2022 16:52;21,9375
70b3d580a0100654;29/04/2022 16:51;22,4375
70b3d580a0100657;29/04/2022 16:47;21,875
70b3d580a0100652;29/04/2022 16:45;19,6875
70b3d580a01007a5;29/04/2022 16:44;20,9375
70b3d580a0100543;29/04/2022 16:42;21,5
70b3d580a01006cf;29/04/2022 16:41;21
70b3d580a0100656;29/04/2022 16:38;21
70b3d580a0100550;29/04/2022 16:35;22,75
70b3d580a0100742;29/04/2022 16:34;20,4375
70b3d580a01005fa;29/04/2022 16:33;21,5625
70b3d580a01005fa;29/04/2022 16:33;21,5625
70b3d580a0100600;29/04/2022 16:31;22,0625
70b3d580a0100549;29/04/2022 16:31;21,4375
70b3d580a010054c;29/04/2022 16:30;21,75
70b3d580a0100605;29/04/2022 16:29;21,8125
70b3d580a0100647;29/04/2022 16:28;22,3125
70b3d580a0100648;29/04/2022 16:26;21,3125
70b3d580a0100623;29/04/2022 16:22;22,375
70b3d580a0100654;29/04/2022 16:21;22,5
70b3d580a0100657;29/04/2022 16:17;22,1875
70b3d580a0100652;29/04/2022 16:15;20
70b3d580a01007a5;29/04/2022 16:14;21,25
70b3d580a0100543;29/04/2022 16:12;21,5625
70b3d580a0100656;29/04/2022 16:08;21
70b3d580a0100550;29/04/2022 16:05;22,5
70b3d580a0100742;29/04/2022 16:04;21
70b3d580a01005fa;29/04/2022 16:03;21,25
70b3d580a01005fa;29/04/2022 16:03;21,25
70b3d580a0100600;29/04/2022 16:01;21,9375
70b3d580a0100600;29/04/2022 16:01;21,9375
70b3d580a0100549;29/04/2022 16:01;21,5
70b3d580a010054c;29/04/2022 16:00;21,625
70b3d580a0100605;29/04/2022 15:59;21,6875
70b3d580a0100647;29/04/2022 15:58;22,25
70b3d580a0100648;29/04/2022 15:56;21,1875
70b3d580a0100623;29/04/2022 15:52;22,375
70b3d580a0100654;29/04/2022 15:51;22,4375
70b3d580a0100657;29/04/2022 15:47;22,0625
70b3d580a0100652;29/04/2022 15:45;19,875
70b3d580a01007a5;29/04/2022 15:44;21,25
70b3d580a0100543;29/04/2022 15:42;21,375
70b3d580a0100543;29/04/2022 15:42;21,375
70b3d580a01006cf;29/04/2022 15:41;21,375
70b3d580a0100656;29/04/2022 15:38;20,875
70b3d580a0100550;29/04/2022 15:35;22,125
70b3d580a0100742;29/04/2022 15:34;20,875
70b3d580a01005fa;29/04/2022 15:33;21,3125
70b3d580a01005fa;29/04/2022 15:33;21,3125
70b3d580a0100600;29/04/2022 15:31;21,8125
70b3d580a0100600;29/04/2022 15:31;21,8125
70b3d580a0100549;29/04/2022 15:31;21,3125
70b3d580a010054c;29/04/2022 15:30;21,5625
70b3d580a0100605;29/04/2022 15:29;21,5625
70b3d580a0100647;29/04/2022 15:28;21,875
70b3d580a0100648;29/04/2022 15:26;21,4375
70b3d580a0100623;29/04/2022 15:22;22
70b3d580a0100654;29/04/2022 15:21;22,125
70b3d580a0100657;29/04/2022 15:17;21,9375
70b3d580a0100652;29/04/2022 15:15;19,875
70b3d580a01007a5;29/04/2022 15:14;21,0625
70b3d580a0100543;29/04/2022 15:12;21,375
70b3d580a0100543;29/04/2022 15:12;21,375
70b3d580a01006cf;29/04/2022 15:11;21,125
70b3d580a0100656;29/04/2022 15:08;21,0625
70b3d580a0100550;29/04/2022 15:05;22,25
70b3d580a0100742;29/04/2022 15:04;20,8125
70b3d580a01005fa;29/04/2022 15:03;21,4375
70b3d580a01005fa;29/04/2022 15:03;21,4375
70b3d580a0100600;29/04/2022 15:01;21,8125
70b3d580a0100600;29/04/2022 15:01;21,8125
70b3d580a0100549;29/04/2022 15:01;21,25
70b3d580a010054c;29/04/2022 15:00;21,625
70b3d580a0100605;29/04/2022 14:59;21,875
70b3d580a0100647;29/04/2022 14:58;22,25
70b3d580a0100648;29/04/2022 14:56;21,375
70b3d580a0100623;29/04/2022 14:52;21,9375
70b3d580a0100654;29/04/2022 14:51;22,125
70b3d580a0100657;29/04/2022 14:47;21,75
70b3d580a0100652;29/04/2022 14:45;19,6875
70b3d580a01007a5;29/04/2022 14:44;21
70b3d580a0100543;29/04/2022 14:42;21,4375
70b3d580a0100543;29/04/2022 14:42;21,4375
70b3d580a01006cf;29/04/2022 14:41;21,5625
70b3d580a0100656;29/04/2022 14:38;21
70b3d580a0100550;29/04/2022 14:35;22
70b3d580a0100742;29/04/2022 14:34;20,8125
70b3d580a01005fa;29/04/2022 14:33;21,1875
70b3d580a01005fa;29/04/2022 14:33;21,1875
