channel_id;channel_provider_id;mobility_type;started_at;last_updated_at;time_step
69387.01750.03.01;69387.01750.03.01;PEDESTRIAN;2023-02-22 12:00:00+01:00;2025-11-27 04:00:00+01:00;3600
353479672;353479672;BIKE;2020-11-30 05:00:00+01:00;2025-12-18 00:00:00+01:00;3600
353478481;353478481;BIKE;2015-01-12 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
101030106;101030106;BIKE;2011-04-18 06:00:00+02:00;2023-10-24 00:00:00+02:00;3600
102030106;102030106;BIKE;2011-04-18 06:00:00+02:00;2023-10-24 00:00:00+02:00;3600
101030107;101030107;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102030107;102030107;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
353478482;353478482;BIKE;2015-01-12 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
353399232;353399232;BIKE;2014-06-25 15:00:00+02:00;2023-09-29 00:00:00+02:00;3600
353399233;353399233;BIKE;2023-01-01 08:00:00+01:00;2023-09-29 00:00:00+02:00;3600
353399235;353399235;BIKE;2023-01-01 08:00:00+01:00;2023-09-29 00:00:00+02:00;3600
101030638;101030638;PEDESTRIAN;2016-04-18 00:00:00+02:00;;900
102030638;102030638;PEDESTRIAN;2016-04-18 00:00:00+02:00;;900
101030640;101030640;PEDESTRIAN;2016-04-18 00:00:00+02:00;;900
102024515;102024515;BIKE;2013-01-01 00:00:00+01:00;2024-09-18 15:15:00+02:00;900
353243192;353243192;BIKE;2013-01-01 00:00:00+01:00;2024-09-18 15:15:00+02:00;900
353243196;353243196;BIKE;2013-01-01 00:00:00+01:00;2024-09-18 15:15:00+02:00;900
69384.00008.03.01;69384.00008.03.01;PEDESTRIAN;2023-02-22 12:00:00+01:00;2025-12-18 11:00:00+01:00;3600
69386.00131.02.01;69386.00131.02.01;PEDESTRIAN;2023-02-22 12:00:00+01:00;2025-12-18 10:00:00+01:00;3600
69386.01392.03.00;69386.01392.03.00;PEDESTRIAN;2023-02-22 12:00:00+01:00;2025-12-18 08:00:00+01:00;3600
69386.02038.04.01;69386.02038.04.01;PEDESTRIAN;2023-02-22 12:00:00+01:00;2025-12-18 10:00:00+01:00;3600
69387.01750.03.00;69387.01750.03.00;PEDESTRIAN;2023-02-22 12:00:00+01:00;2025-11-27 04:00:00+01:00;3600
353479670;353479670;BIKE;2020-11-30 05:00:00+01:00;2025-12-18 00:00:00+01:00;3600
353478483;353478483;E-SCOOTER;2015-01-12 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
69384.00009.03.01;69384.00009.03.01;PEDESTRIAN;2023-02-23 06:00:00+01:00;2025-12-16 18:00:00+01:00;3600
353478484;353478484;E-SCOOTER;2015-01-12 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
102026724;102026724;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
102026958;102026958;PEDESTRIAN;2016-02-24 05:00:00+01:00;;3600
101026959;101026959;PEDESTRIAN;2016-01-01 10:00:00+01:00;2025-12-18 00:00:00+01:00;3600
102030640;102030640;PEDESTRIAN;2016-04-18 00:00:00+02:00;;900
101030642;101030642;PEDESTRIAN;2016-04-18 00:00:00+02:00;;900
102030642;102030642;PEDESTRIAN;2016-04-18 00:00:00+02:00;;900
101030651;101030651;PEDESTRIAN;2016-04-19 00:00:00+02:00;;900
102030651;102030651;PEDESTRIAN;2016-04-19 00:00:00+02:00;;900
101030652;101030652;PEDESTRIAN;2016-04-19 00:00:00+02:00;;900
102030652;102030652;PEDESTRIAN;2016-04-19 00:00:00+02:00;;900
101030659;101030659;PEDESTRIAN;2016-04-19 00:00:00+02:00;;900
102030659;102030659;PEDESTRIAN;2016-04-19 00:00:00+02:00;;900
101030676;101030676;PEDESTRIAN;2016-04-20 00:00:00+02:00;;900
102030676;102030676;PEDESTRIAN;2016-04-20 00:00:00+02:00;;900
101026724;101026724;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
353302069;353302069;CAR;2021-08-31 00:00:00+02:00;2023-04-07 19:13:00+02:00;780
69386.01392.03.01;69386.01392.03.01;PEDESTRIAN;2023-02-22 12:00:00+01:00;2025-12-18 08:00:00+01:00;3600
102026959;102026959;PEDESTRIAN;2016-01-01 10:00:00+01:00;2025-12-18 00:00:00+01:00;3600
103026959;103026959;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
104026959;104026959;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
101032799;101032799;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102032799;102032799;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
101032800;101032800;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
101032795;101032795;BIKE;2013-01-01 00:00:00+01:00;2022-06-15 00:00:00+02:00;3600
102032795;102032795;BIKE;2013-01-01 00:00:00+01:00;2022-06-15 00:00:00+02:00;3600
102032800;102032800;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
101032820;101032820;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102032820;102032820;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
101032821;101032821;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
101032802;101032802;BIKE;2013-01-01 00:00:00+01:00;2022-10-14 00:00:00+02:00;3600
102032802;102032802;BIKE;2013-01-01 00:00:00+01:00;2022-10-14 00:00:00+02:00;3600
102032821;102032821;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
101032822;101032822;BIKE;2013-01-01 00:00:00+01:00;2023-10-23 23:15:00+02:00;3600
102032822;102032822;BIKE;2013-01-01 00:00:00+01:00;2023-10-23 23:15:00+02:00;900
101032824;101032824;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102032824;102032824;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
101032825;101032825;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102032825;102032825;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
101032826;101032826;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102032826;102032826;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
101032828;101032828;BIKE;2012-10-01 00:00:00+02:00;2023-10-23 23:15:00+02:00;900
102032828;102032828;BIKE;2012-10-01 00:00:00+02:00;2023-10-23 23:15:00+02:00;900
101032830;101032830;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102032830;102032830;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
101032832;101032832;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102032832;102032832;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
353300367;353300367;E-SCOOTER;2022-02-13 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
101032833;101032833;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102032833;102032833;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
101032834;101032834;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102032834;102032834;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
101032835;101032835;BIKE;2013-01-01 00:00:00+01:00;2023-10-23 00:00:00+02:00;3600
102032835;102032835;BIKE;2013-01-01 00:00:00+01:00;2023-10-23 00:00:00+02:00;3600
101032836;101032836;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102032836;102032836;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
101032838;101032838;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102032838;102032838;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
100029813;100029813;PEDESTRIAN;2016-02-22 00:00:00+01:00;2025-12-03 00:00:00+01:00;3600
102033492;102033492;BIKE;2013-01-01 00:00:00+01:00;2022-11-16 17:00:00+01:00;3600
100029814;100029814;PEDESTRIAN;2013-01-01 00:00:00+01:00;2025-12-03 00:00:00+01:00;3600
101034861;101034861;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102034861;102034861;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
69386.02029.02.00;69386.02029.02.00;PEDESTRIAN;2023-02-22 12:00:00+01:00;2025-12-18 11:00:00+01:00;3600
69386.02029.02.01;69386.02029.02.01;PEDESTRIAN;2023-02-22 12:00:00+01:00;2025-12-18 11:00:00+01:00;3600
101026960;101026960;PEDESTRIAN;2018-02-09 00:00:00+01:00;2025-11-29 01:00:00+01:00;3600
102026960;102026960;PEDESTRIAN;2018-02-09 00:00:00+01:00;2025-11-29 01:00:00+01:00;3600
103026960;103026960;BIKE;2013-01-01 00:00:00+01:00;2025-11-29 01:00:00+01:00;3600
69386.02038.04.00;69386.02038.04.00;PEDESTRIAN;2023-02-22 12:00:00+01:00;2025-12-18 10:00:00+01:00;3600
101043512;101043512;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102043512;102043512;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
353509129;353509129;E-SCOOTER;2024-12-30 00:00:00+01:00;2025-12-17 13:00:00+01:00;3600
353399218;353399218;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
353399219;353399219;E-SCOOTER;2014-06-25 00:00:00+02:00;2025-12-18 00:00:00+01:00;3600
353300368;353300368;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
353509128;353509128;E-SCOOTER;2024-12-30 00:00:00+01:00;2025-12-17 13:00:00+01:00;3600
353399223;353399223;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
353399224;353399224;E-SCOOTER;2014-06-25 00:00:00+02:00;2025-12-18 00:00:00+01:00;3600
101030407;101030407;CAR;2016-05-01 00:00:00+02:00;;3600
104030636;104030636;BIKE;2013-01-01 00:00:00+01:00;2025-12-17 05:00:00+01:00;3600
104030637;104030637;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
101028454;101028454;PEDESTRIAN;2011-01-01 00:00:00+01:00;2023-02-16 00:00:00+01:00;900
102028454;102028454;PEDESTRIAN;2011-01-01 00:00:00+01:00;2023-02-16 00:00:00+01:00;900
103028454;103028454;BIKE;2011-01-01 00:00:00+01:00;2023-02-16 00:00:00+01:00;900
104028454;104028454;BIKE;2011-01-01 00:00:00+01:00;2023-02-16 00:00:00+01:00;900
353243201;353243201;BIKE;2020-12-03 00:45:00+01:00;;900
353243202;353243202;PEDESTRIAN;2020-12-02 00:45:00+01:00;;900
353243204;353243204;PEDESTRIAN;2020-12-02 00:45:00+01:00;;900
100029815;100029815;BIKE;2013-01-01 00:00:00+01:00;2025-12-03 00:00:00+01:00;3600
100034428;100034428;BIKE;2013-01-01 00:00:00+01:00;2023-07-27 00:00:00+02:00;3600
100034429;100034429;BIKE;2013-01-01 00:00:00+01:00;2023-07-27 00:00:00+02:00;3600
353302072;353302072;TRUCK;2021-08-31 00:00:00+02:00;2023-04-07 19:13:00+02:00;780
353302095;353302095;TWO WHEELS MOTORIZED;2021-08-31 00:00:00+02:00;2023-04-07 19:13:00+02:00;780
100034859;100034859;BIKE;2013-01-01 00:00:00+01:00;2023-07-27 00:00:00+02:00;3600
100034860;100034860;BIKE;2013-01-01 00:00:00+01:00;2023-07-27 00:00:00+02:00;3600
101043681;101043681;BIKE;2013-01-01 00:00:00+01:00;2023-09-26 00:00:00+02:00;3600
102043681;102043681;BIKE;2013-01-01 00:00:00+01:00;2023-09-26 00:00:00+02:00;3600
353299946;353299946;E-SCOOTER;;2023-09-26 00:00:00+02:00;0
353299956;353299956;E-SCOOTER;;2023-09-26 00:00:00+02:00;0
101029817;101029817;CAR;2016-01-01 00:00:00+01:00;;900
101030143;101030143;BIKE;2013-01-01 00:00:00+01:00;2025-12-17 13:00:00+01:00;3600
102030143;102030143;BIKE;2013-01-01 00:00:00+01:00;2025-12-17 13:00:00+01:00;3600
353243418;353243418;BIKE;2013-01-01 00:00:00+01:00;2025-01-26 00:00:00+01:00;3600
353399217;353399217;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
353399220;353399220;E-SCOOTER;2014-06-25 00:00:00+02:00;2025-12-18 00:00:00+01:00;3600
353399222;353399222;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
103030635;103030635;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
102031122;102031122;BIKE;2013-01-01 00:00:00+01:00;2022-08-19 00:00:00+02:00;3600
353486009;353486009;BIKE;2024-10-23 19:00:00+02:00;;3600
353486011;353486011;BIKE;2024-10-23 19:00:00+02:00;;3600
101047688;101047688;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102047688;102047688;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
101047690;101047690;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102047690;102047690;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
101047692;101047692;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102047692;102047692;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
101047693;101047693;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102047693;102047693;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
101047694;101047694;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102047694;102047694;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
101002047;101002047;PEDESTRIAN;2011-06-09 00:00:00+02:00;2023-01-07 16:00:00+01:00;3600
102002047;102002047;PEDESTRIAN;2011-06-09 00:00:00+02:00;2023-01-07 16:00:00+01:00;3600
101048664;101048664;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102048664;102048664;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
104026960;104026960;BIKE;2013-01-01 00:00:00+01:00;2025-11-29 01:00:00+01:00;3600
353399225;353399225;E-SCOOTER;2014-06-25 00:00:00+02:00;2025-12-18 00:00:00+01:00;3600
353479510;353479510;BIKE;2016-07-18 16:15:00+02:00;2025-12-18 00:00:00+01:00;3600
101049670;101049670;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
102049670;102049670;BIKE;2013-01-01 00:00:00+01:00;2023-10-24 00:00:00+02:00;3600
353479511;353479511;BIKE;2016-07-18 16:15:00+02:00;2025-12-18 00:00:00+01:00;3600
102031124;102031124;BIKE;2013-01-01 00:00:00+01:00;2024-09-23 00:00:00+02:00;900
101031127;101031127;BIKE;2013-01-01 00:00:00+01:00;2023-09-26 00:00:00+02:00;3600
353479512;353479512;E-SCOOTER;2016-07-18 16:15:00+02:00;2025-12-18 00:00:00+01:00;3600
353479513;353479513;E-SCOOTER;2016-07-18 16:15:00+02:00;2025-12-18 00:00:00+01:00;3600
353431729;353431729;BIKE;2024-01-01 00:00:00+01:00;2025-12-17 23:30:00+01:00;1800
353431730;353431730;BIKE;2024-01-01 00:00:00+01:00;2025-12-17 23:30:00+01:00;1800
353472472;353472472;E-SCOOTER;2024-04-20 13:00:00+02:00;2025-12-17 23:30:00+01:00;1800
353472507;353472507;BIKE;2024-04-20 13:00:00+02:00;2025-12-17 23:30:00+01:00;1800
